DATE,CSUSHPISA
1987-01-01,63.989
1987-02-01,64.44800000000001
1987-03-01,64.76100000000001
1987-04-01,65.153
1987-05-01,65.583
1987-06-01,66.08800000000001
1987-07-01,66.521
1987-08-01,66.95
1987-09-01,67.343
1987-10-01,67.75399999999999
1987-11-01,68.12
1987-12-01,68.52199999999999
1988-01-01,68.875
1988-02-01,69.278
1988-03-01,69.656
1988-04-01,69.986
1988-05-01,70.433
1988-06-01,70.895
1988-07-01,71.362
1988-08-01,71.807
1988-09-01,72.248
1988-10-01,72.646
1988-11-01,73.083
1988-12-01,73.47399999999999
1989-01-01,73.954
1989-02-01,74.388
1989-03-01,74.786
1989-04-01,75.089
1989-05-01,75.31
1989-06-01,75.483
1989-07-01,75.664
1989-08-01,75.84100000000001
1989-09-01,76.06
1989-10-01,76.289
1989-11-01,76.529
1989-12-01,76.706
1990-01-01,76.89699999999999
1990-02-01,77.053
1990-03-01,77.202
1990-04-01,77.279
1990-05-01,77.297
1990-06-01,77.255
1990-07-01,77.135
1990-08-01,77.002
1990-09-01,76.84100000000001
1990-10-01,76.695
1990-11-01,76.373
1990-12-01,76.179
1991-01-01,75.90899999999999
1991-02-01,75.733
1991-03-01,75.572
1991-04-01,75.561
1991-05-01,75.763
1991-06-01,75.99
1991-07-01,76.075
1991-08-01,76.101
1991-09-01,76.187
1991-10-01,76.072
1991-11-01,76.02600000000001
1991-12-01,76.045
1992-01-01,76.082
1992-02-01,76.152
1992-03-01,76.273
1992-04-01,76.342
1992-05-01,76.395
1992-06-01,76.33
1992-07-01,76.266
1992-08-01,76.23100000000001
1992-09-01,76.24
1992-10-01,76.381
1992-11-01,76.57
1992-12-01,76.679
1993-01-01,76.78699999999999
1993-02-01,76.84
1993-03-01,76.87
1993-04-01,76.937
1993-05-01,77.03699999999999
1993-06-01,77.243
1993-07-01,77.431
1993-08-01,77.615
1993-09-01,77.797
1993-10-01,77.94800000000001
1993-11-01,78.161
1993-12-01,78.333
1994-01-01,78.597
1994-02-01,78.734
1994-03-01,78.862
1994-04-01,78.99600000000001
1994-05-01,79.23
1994-06-01,79.433
1994-07-01,79.60600000000001
1994-08-01,79.791
1994-09-01,79.92699999999999
1994-10-01,80.072
1994-11-01,80.158
1994-12-01,80.304
1995-01-01,80.435
1995-02-01,80.544
1995-03-01,80.61399999999999
1995-04-01,80.678
1995-05-01,80.721
1995-06-01,80.80199999999999
1995-07-01,80.954
1995-08-01,81.128
1995-09-01,81.325
1995-10-01,81.503
1995-11-01,81.641
1995-12-01,81.759
1996-01-01,81.857
1996-02-01,81.979
1996-03-01,82.21600000000001
1996-04-01,82.44200000000001
1996-05-01,82.63
1996-06-01,82.77600000000001
1996-07-01,82.955
1996-08-01,83.115
1996-09-01,83.28399999999999
1996-10-01,83.404
1996-11-01,83.579
1996-12-01,83.74700000000001
1997-01-01,83.98100000000001
1997-02-01,84.20700000000001
1997-03-01,84.476
1997-04-01,84.652
1997-05-01,84.89299999999999
1997-06-01,85.11200000000001
1997-07-01,85.363
1997-08-01,85.603
1997-09-01,85.88
1997-10-01,86.177
1997-11-01,86.661
1997-12-01,87.12100000000001
1998-01-01,87.65
1998-02-01,88.039
1998-03-01,88.475
1998-04-01,88.91
1998-05-01,89.39399999999999
1998-06-01,89.874
1998-07-01,90.339
1998-08-01,90.815
1998-09-01,91.287
1998-10-01,91.744
1998-11-01,92.225
1998-12-01,92.735
1999-01-01,93.24
1999-02-01,93.70299999999999
1999-03-01,94.24799999999999
1999-04-01,94.816
1999-05-01,95.376
1999-06-01,96.005
1999-07-01,96.62100000000001
1999-08-01,97.249
1999-09-01,97.895
1999-10-01,98.557
1999-11-01,99.19
1999-12-01,99.876
2000-01-01,100.556
2000-02-01,101.34100000000001
2000-03-01,102.12700000000001
2000-04-01,102.92299999999999
2000-05-01,103.679
2000-06-01,104.425
2000-07-01,105.054
2000-08-01,105.76799999999999
2000-09-01,106.537
2000-10-01,107.382
2000-11-01,108.29899999999999
2000-12-01,109.135
2001-01-01,109.851
2001-02-01,110.50399999999999
2001-03-01,111.111
2001-04-01,111.65299999999999
2001-05-01,112.164
2001-06-01,112.79799999999999
2001-07-01,113.494
2001-08-01,114.17
2001-09-01,114.814
2001-10-01,115.31
2001-11-01,115.855
2001-12-01,116.449
2002-01-01,117.146
2002-02-01,117.84700000000001
2002-03-01,118.69
2002-04-01,119.61399999999999
2002-05-01,120.726
2002-06-01,121.814
2002-07-01,122.88799999999999
2002-08-01,123.831
2002-09-01,124.779
2002-10-01,125.73299999999999
2002-11-01,126.665
2002-12-01,127.617
2003-01-01,128.461
2003-02-01,129.357
2003-03-01,130.151
2003-04-01,130.886
2003-05-01,131.736
2003-06-01,132.65
2003-07-01,133.776
2003-08-01,134.968
2003-09-01,136.29399999999998
2003-10-01,137.534
2003-11-01,138.797
2003-12-01,140.18200000000002
2004-01-01,141.651
2004-02-01,143.196
2004-03-01,145.065
2004-04-01,146.595
2004-05-01,148.187
2004-06-01,149.851
2004-07-01,151.33700000000002
2004-08-01,152.635
2004-09-01,154.179
2004-10-01,155.75
2004-11-01,157.528
2004-12-01,159.332
2005-01-01,161.292
2005-02-01,163.35
2005-03-01,165.81900000000002
2005-04-01,167.502
2005-05-01,169.35
2005-06-01,171.18900000000002
2005-07-01,172.859
2005-08-01,174.446
2005-09-01,176.43900000000002
2005-10-01,178.03
2005-11-01,179.68400000000003
2005-12-01,180.91299999999998
2006-01-01,182.32299999999998
2006-02-01,183.28900000000002
2006-03-01,184.36700000000002
2006-04-01,184.33
2006-05-01,184.158
2006-06-01,183.512
2006-07-01,183.076
2006-08-01,182.607
2006-09-01,182.80700000000002
2006-10-01,183.205
2006-11-01,183.613
2006-12-01,184.142
2007-01-01,184.52
2007-02-01,184.602
2007-03-01,184.15599999999998
2007-04-01,183.017
2007-05-01,181.609
2007-06-01,180.263
2007-07-01,179.12
2007-08-01,178.13
2007-09-01,177.56799999999998
2007-10-01,176.635
2007-11-01,175.157
2007-12-01,174.34900000000002
2008-01-01,173.141
2008-02-01,171.548
2008-03-01,170.062
2008-04-01,168.345
2008-05-01,166.668
2008-06-01,165.02900000000002
2008-07-01,163.58
2008-08-01,162.006
2008-09-01,160.322
2008-10-01,158.335
2008-11-01,156.14700000000002
2008-12-01,153.624
2009-01-01,151.516
2009-02-01,150.023
2009-03-01,148.672
2009-04-01,147.963
2009-05-01,147.71
2009-06-01,148.10299999999998
2009-07-01,148.418
2009-08-01,148.286
2009-09-01,148.032
2009-10-01,147.856
2009-11-01,148.143
2009-12-01,147.94
2010-01-01,147.394
2010-02-01,145.632
2010-03-01,145.858
2010-04-01,146.393
2010-05-01,146.381
2010-06-01,145.70600000000002
2010-07-01,144.971
2010-08-01,143.893
2010-09-01,143.001
2010-10-01,142.523
2010-11-01,142.173
2010-12-01,142.062
2011-01-01,141.528
2011-02-01,140.355
2011-03-01,139.985
2011-04-01,140.005
2011-05-01,139.895
2011-06-01,139.849
2011-07-01,139.716
2011-08-01,139.297
2011-09-01,138.657
2011-10-01,137.94
2011-11-01,137.139
2011-12-01,136.661
2012-01-01,136.602
2012-02-01,136.532
2012-03-01,137.914
2012-04-01,139.16899999999998
2012-05-01,140.17
2012-06-01,141.04
2012-07-01,141.667
2012-08-01,142.285
2012-09-01,142.915
2012-10-01,143.608
2012-11-01,144.593
2012-12-01,145.509
2013-01-01,146.839
2013-02-01,147.789
2013-03-01,149.976
2013-04-01,151.54
2013-05-01,152.874
2013-06-01,154.224
2013-07-01,155.586
2013-08-01,156.983
2013-09-01,158.243
2013-10-01,159.25799999999998
2013-11-01,160.091
2013-12-01,161.016
2014-01-01,161.97899999999998
2014-02-01,162.583
2014-03-01,163.141
2014-04-01,163.445
2014-05-01,163.702
2014-06-01,164.10299999999998
2014-07-01,164.51
2014-08-01,165.22299999999998
2014-09-01,165.917
2014-10-01,166.66
2014-11-01,167.36
2014-12-01,168.082
2015-01-01,168.727
2015-02-01,169.255
2015-03-01,169.90099999999998
2015-04-01,170.396
2015-05-01,170.954
2015-06-01,171.54
2015-07-01,172.0
2015-08-01,172.947
2015-09-01,173.847
2015-10-01,174.851
2015-11-01,175.822
2015-12-01,176.63299999999998
2016-01-01,177.43900000000002
2016-02-01,177.868
2016-03-01,178.326
2016-04-01,178.93
2016-05-01,179.548
2016-06-01,180.18599999999998
2016-07-01,180.62599999999998
2016-08-01,181.872
2016-09-01,182.858
2016-10-01,183.87099999999998
2016-11-01,184.922
2016-12-01,185.90200000000002
2017-01-01,187.109
2017-02-01,187.736
2017-03-01,188.355
2017-04-01,189.097
2017-05-01,189.888
2017-06-01,190.69799999999998
2017-07-01,191.183
2017-08-01,192.718
2017-09-01,193.826
2017-10-01,195.012
2017-11-01,196.21200000000002
2017-12-01,197.433
2018-01-01,198.736
2018-02-01,199.815
2018-03-01,200.56900000000002
2018-04-01,201.32299999999998
2018-05-01,201.951
2018-06-01,202.565
2018-07-01,202.62099999999998
2018-08-01,203.748
